## FlyBase unique proteins by gene table
## Generated: Sun Dec 20 13:03:33 2015
## Using datasource: dbi:Pg:dbname=fb_2016_01_reporting;host=flysql15;port=5432...
##FBgn	FB_gene_symbol	representative_protein	identical_protein(s)

FBgn0000038	nAChRbeta1	nAChRbeta1-PA	
FBgn0000038	nAChRbeta1	nAChRbeta1-PB	
FBgn0000039	nAChRalpha2	nAChRalpha2-PA	nAChRalpha2-PB
FBgn0000042	Act5C	Act5C-PA	Act5C-PB,Act5C-PC,Act5C-PD,Act5C-PE
FBgn0000043	Act42A	Act42A-PA	
FBgn0000044	Act57B	Act57B-PA	
FBgn0000045	Act79B	Act79B-PA	Act79B-PB
FBgn0000046	Act87E	Act87E-PA	Act87E-PB,Act87E-PC
FBgn0000047	Act88F	Act88F-PA	
FBgn0000052	ade2	ade2-PA	ade2-PB,ade2-PC
FBgn0000053	ade3	ade3-PA	ade3-PC
FBgn0000053	ade3	ade3-PB	
FBgn0000054	Adf1	Adf1-PA	Adf1-PB
FBgn0000054	Adf1	Adf1-PC	
FBgn0000054	Adf1	Adf1-PE	
FBgn0000055	Adh	Adh-PC	Adh-PE,Adh-PF,Adh-PH,Adh-PI
FBgn0000056	Adhr	Adhr-PA	Adhr-PB,Adhr-PC
FBgn0000057	adp	adp-PA	adp-PB
FBgn0000061	al	al-PA	
FBgn0000063	Mps1	Mps1-PA	
FBgn0000063	Mps1	Mps1-PB	
FBgn0000064	Ald	Ald-PB	Ald-PC,Ald-PD,Ald-PK,Ald-PM
FBgn0000064	Ald	Ald-PE	Ald-PI
FBgn0000064	Ald	Ald-PH	Ald-PJ,Ald-PL
FBgn0000071	Ama	Ama-PA	Ama-PC
FBgn0000071	Ama	Ama-PB	
FBgn0000075	amd	amd-PA	
FBgn0000075	amd	amd-PB	
FBgn0000077	amx	amx-PA	amx-PB
FBgn0000078	Amy-d	Amy-d-PA	
FBgn0000079	Amy-p	Amy-p-PA	Amy-p-PB
FBgn0000083	AnxB9	AnxB9-PA	
FBgn0000083	AnxB9	AnxB9-PB	AnxB9-PD
FBgn0000083	AnxB9	AnxB9-PC	AnxB9-PE,AnxB9-PF
FBgn0000084	AnxB10	AnxB10-PA	
FBgn0000084	AnxB10	AnxB10-PB	
FBgn0000092	CG2650	CG2650-PA	
FBgn0000094	Anp	Anp-PA	Anp-PB
FBgn0000097	aop	aop-PA	aop-PB,aop-PC,aop-PD,aop-PE
FBgn0000100	RpLP0	RpLP0-PA	RpLP0-PB
FBgn0000108	Appl	Appl-PA	
FBgn0000108	Appl	Appl-PB	
FBgn0000108	Appl	Appl-PC	
FBgn0000108	Appl	Appl-PD	
FBgn0000108	Appl	Appl-PE	
FBgn0000108	Appl	Appl-PF	
FBgn0000109	Aprt	Aprt-PA	Aprt-PC,Aprt-PD
FBgn0000114	aret	aret-PA	aret-PE
FBgn0000114	aret	aret-PB	aret-PG
FBgn0000114	aret	aret-PD	
FBgn0000114	aret	aret-PF	
FBgn0000114	aret	aret-PH	aret-PI,aret-PJ,aret-PK
FBgn0000115	Arl1	Arl1-PA	
FBgn0000116	Argk	Argk-PA	
FBgn0000116	Argk	Argk-PB	
FBgn0000116	Argk	Argk-PC	
FBgn0000116	Argk	Argk-PD	Argk-PG,Argk-PH
FBgn0000116	Argk	Argk-PE	
FBgn0000117	arm	arm-PA	arm-PB,arm-PD,arm-PE,arm-PF
FBgn0000117	arm	arm-PC	
FBgn0000119	arr	arr-PA	
FBgn0000120	Arr1	Arr1-PA	Arr1-PB
FBgn0000120	Arr1	Arr1-PC	
FBgn0000121	Arr2	Arr2-PA	
FBgn0000137	ase	ase-PA	
FBgn0000139	ash2	ash2-PB	
FBgn0000139	ash2	ash2-PC	
FBgn0000139	ash2	ash2-PE	
FBgn0000140	asp	asp-PA	
FBgn0000146	aub	aub-PA	
FBgn0000146	aub	aub-PC	
FBgn0000147	aurA	aurA-PA	
FBgn0000150	awd	awd-PC	awd-PD
FBgn0000150	awd	awd-PE	
FBgn0000152	Axs	Axs-PA	
FBgn0000153	b	b-PA	b-PB
FBgn0000153	b	b-PC	
FBgn0000157	Dll	Dll-PA	
FBgn0000157	Dll	Dll-PB	
FBgn0000157	Dll	Dll-PC	
FBgn0000158	bam	bam-PA	
FBgn0000163	baz	baz-PA	
FBgn0000163	baz	baz-PB	
FBgn0000163	baz	baz-PC	
FBgn0000163	baz	baz-PD	
FBgn0000166	bcd	bcd-PA	
FBgn0000166	bcd	bcd-PD	
FBgn0000166	bcd	bcd-PE	
FBgn0000166	bcd	bcd-PF	
FBgn0000166	bcd	bcd-PG	
FBgn0000173	ben	ben-PA	ben-PB,ben-PC,ben-PD,ben-PE
FBgn0000179	bi	bi-PA	bi-PB,bi-PC
FBgn0000179	bi	bi-PD	
FBgn0000179	bi	bi-PE	
FBgn0000179	bi	bi-PF	
FBgn0000179	bi	bi-PG	
FBgn0000180	bib	bib-PA	
FBgn0000180	bib	bib-PB	
FBgn0000181	bic	bic-PA	bic-PB
FBgn0000182	BicC	BicC-PA	BicC-PB
FBgn0000182	BicC	BicC-PD	
FBgn0000183	BicD	BicD-PA	BicD-PC
FBgn0000183	BicD	BicD-PB	
FBgn0000183	BicD	BicD-PD	
FBgn0000206	boss	boss-PA	
FBgn0000212	brm	brm-PA	brm-PB
FBgn0000212	brm	brm-PC	brm-PD
FBgn0000212	brm	brm-PE	
FBgn0000212	brm	brm-PF	
FBgn0000216	Brd	Brd-PA	
FBgn0000221	brn	brn-PA	
FBgn0000227	Bsg25A	Bsg25A-PA	
FBgn0000228	Bsg25D	Bsg25D-PB	
FBgn0000228	Bsg25D	Bsg25D-PC	
FBgn0000228	Bsg25D	Bsg25D-PD	
FBgn0000228	Bsg25D	Bsg25D-PE	
FBgn0000228	Bsg25D	Bsg25D-PF	
FBgn0000228	Bsg25D	Bsg25D-PG	
FBgn0000228	Bsg25D	Bsg25D-PH	
FBgn0000229	bsk	bsk-PB	bsk-PE,bsk-PF
FBgn0000233	btd	btd-PA	
FBgn0000239	bur	bur-PB	bur-PC
FBgn0000241	bw	bw-PA	bw-PD
FBgn0000244	by	by-PA	by-PC,by-PD
FBgn0000246	c(3)G	c(3)G-PA	c(3)G-PB,c(3)G-PC
FBgn0000247	ca	ca-PA	ca-PC
FBgn0000250	cact	cact-PA	cact-PB,cact-PD,cact-PE
FBgn0000250	cact	cact-PC	
FBgn0000251	cad	cad-PA	cad-PB
FBgn0000251	cad	cad-PC	
FBgn0000253	Cam	Cam-PA	Cam-PB,Cam-PC,Cam-PD,Cam-PE
FBgn0000256	capu	capu-PA	
FBgn0000256	capu	capu-PB	
FBgn0000256	capu	capu-PD	
FBgn0000256	capu	capu-PE	
FBgn0000256	capu	capu-PF	
FBgn0000256	capu	capu-PG	
FBgn0000256	capu	capu-PH	
FBgn0000256	capu	capu-PI	
FBgn0000256	capu	capu-PJ	
FBgn0000257	car	car-PA	car-PB
FBgn0000257	car	car-PC	
FBgn0000259	CkIIbeta	CkIIbeta-PB	CkIIbeta-PC,CkIIbeta-PD,CkIIbeta-PF,CkIIbeta-PG,CkIIbeta-PH
FBgn0000259	CkIIbeta	CkIIbeta-PE	
FBgn0000259	CkIIbeta	CkIIbeta-PI	
FBgn0000259	CkIIbeta	CkIIbeta-PJ	
FBgn0000259	CkIIbeta	CkIIbeta-PK	
FBgn0000261	Cat	Cat-PA	
FBgn0000273	Pka-C1	Pka-C1-PB	Pka-C1-PC,Pka-C1-PD
FBgn0000274	Pka-C2	Pka-C2-PB	
FBgn0000274	Pka-C2	Pka-C2-PC	
FBgn0000276	CecA1	CecA1-PA	
FBgn0000277	CecA2	CecA2-PA	
FBgn0000278	CecB	CecB-PA	
FBgn0000279	CecC	CecC-PA	
FBgn0000283	Cp190	Cp190-PA	Cp190-PB
FBgn0000286	Cf2	Cf2-PA	
FBgn0000286	Cf2	Cf2-PB	Cf2-PC,Cf2-PE
FBgn0000286	Cf2	Cf2-PF	
FBgn0000287	salr	salr-PA	salr-PB,salr-PC
FBgn0000289	cg	cg-PA	cg-PD
FBgn0000289	cg	cg-PB	
FBgn0000289	cg	cg-PC	
FBgn0000289	cg	cg-PF	
FBgn0000289	cg	cg-PI	
FBgn0000289	cg	cg-PJ	
FBgn0000289	cg	cg-PK	
FBgn0000289	cg	cg-PL	
FBgn0000289	cg	cg-PM	
FBgn0000289	cg	cg-PN	
FBgn0000299	Cg25C	Cg25C-PA	Cg25C-PB,Cg25C-PC
FBgn0000303	ChAT	ChAT-PA	
FBgn0000303	ChAT	ChAT-PB	
FBgn0000307	chif	chif-PA	
FBgn0000307	chif	chif-PB	chif-PD
FBgn0000308	chic	chic-PA	chic-PB,chic-PC,chic-PD,chic-PE,chic-PF
FBgn0000316	cin	cin-PA	cin-PB
FBgn0000317	ck	ck-PA	ck-PB,ck-PC,ck-PD
FBgn0000318	cl	cl-PA	cl-PB,cl-PC
FBgn0000319	Chc	Chc-PA	Chc-PB,Chc-PC,Chc-PD,Chc-PE,Chc-PF,Chc-PG
FBgn0000320	eya	eya-PA	
FBgn0000320	eya	eya-PB	
FBgn0000320	eya	eya-PC	
FBgn0000326	clt	clt-PA	
FBgn0000330	cm	cm-PA	cm-PB
FBgn0000337	cn	cn-PB	
FBgn0000339	cni	cni-PA	cni-PB,cni-PC
FBgn0000346	comt	comt-PA	comt-PB
FBgn0000351	cort	cort-PA	cort-PB
FBgn0000352	cos	cos-PA	cos-PB
FBgn0000355	Cp15	Cp15-PA	
FBgn0000356	Cp16	Cp16-PA	
FBgn0000357	Cp18	Cp18-PA	
FBgn0000358	Cp19	Cp19-PA	
FBgn0000359	Cp36	Cp36-PA	
FBgn0000360	Cp38	Cp38-PA	Cp38-PB
FBgn0000370	crc	crc-PA	crc-PE
FBgn0000370	crc	crc-PB	
FBgn0000370	crc	crc-PF	
FBgn0000376	crm	crm-PA	crm-PB
FBgn0000377	crn	crn-PA	
FBgn0000382	csw	csw-PA	
FBgn0000382	csw	csw-PB	
FBgn0000382	csw	csw-PC	
FBgn0000382	csw	csw-PD	
FBgn0000384	cta	cta-PA	cta-PB
FBgn0000392	cup	cup-PB	cup-PC
FBgn0000394	cv	cv-PA	cv-PB,cv-PC
FBgn0000395	cv-2	cv-2-PA	
FBgn0000404	CycA	CycA-PA	
FBgn0000404	CycA	CycA-PC	
FBgn0000405	CycB	CycB-PA	
FBgn0000405	CycB	CycB-PB	
FBgn0000405	CycB	CycB-PC	
FBgn0000405	CycB	CycB-PE	
FBgn0000406	Cyt-b5-r	Cyt-b5-r-PA	Cyt-b5-r-PB
FBgn0000409	Cyt-c-p	Cyt-c-p-PA	Cyt-c-p-PB
FBgn0000411	D	D-PA	D-PB,D-PC,D-PD
FBgn0000412	D1	D1-PA	D1-PC,D1-PD
FBgn0000414	Dab	Dab-PA	
FBgn0000414	Dab	Dab-PC	
FBgn0000414	Dab	Dab-PD	
FBgn0000414	Dab	Dab-PE	
FBgn0000414	Dab	Dab-PF	
FBgn0000414	Dab	Dab-PG	
FBgn0000414	Dab	Dab-PH	
FBgn0000414	Dab	Dab-PI	
FBgn0000416	Sap-r	Sap-r-PA	
FBgn0000416	Sap-r	Sap-r-PB	
FBgn0000422	Ddc	Ddc-PB	Ddc-PD
FBgn0000422	Ddc	Ddc-PC	
FBgn0000426	SmF	SmF-PA	
FBgn0000427	dec-1	dec-1-PA	
FBgn0000427	dec-1	dec-1-PB	
FBgn0000427	dec-1	dec-1-PC	
FBgn0000427	dec-1	dec-1-PE	
FBgn0000427	dec-1	dec-1-PF	
FBgn0000427	dec-1	dec-1-PG	
FBgn0000439	Dfd	Dfd-PA	
FBgn0000442	Pkg21D	Pkg21D-PA	
FBgn0000447	Dhod	Dhod-PA	Dhod-PD
FBgn0000448	Hr46	Hr46-PA	Hr46-PF
FBgn0000448	Hr46	Hr46-PC	
FBgn0000448	Hr46	Hr46-PD	
FBgn0000448	Hr46	Hr46-PE	
FBgn0000448	Hr46	Hr46-PG	
FBgn0000448	Hr46	Hr46-PH	
FBgn0000449	dib	dib-PA	
FBgn0000451	ect	ect-PA	ect-PB
FBgn0000451	ect	ect-PD	
FBgn0000451	ect	ect-PE	
FBgn0000451	ect	ect-PF	
FBgn0000454	Dip-B	Dip-B-PA	Dip-B-PB,Dip-B-PC,Dip-B-PD
FBgn0000455	Dip-C	Dip-C-PA	Dip-C-PB
FBgn0000459	disco	disco-PA	disco-PB
FBgn0000463	Dl	Dl-PA	Dl-PB,Dl-PC
FBgn0000464	Lar	Lar-PA	
FBgn0000464	Lar	Lar-PB	
FBgn0000464	Lar	Lar-PD	
FBgn0000464	Lar	Lar-PF	
FBgn0000464	Lar	Lar-PG	
FBgn0000464	Lar	Lar-PH	
FBgn0000464	Lar	Lar-PI	
FBgn0000473	Cyp6a2	Cyp6a2-PA	
FBgn0000477	DNaseII	DNaseII-PA	
FBgn0000479	dnc	dnc-PA	
FBgn0000479	dnc	dnc-PB	dnc-PS
FBgn0000479	dnc	dnc-PC	
FBgn0000479	dnc	dnc-PD	
FBgn0000479	dnc	dnc-PE	dnc-PP
FBgn0000479	dnc	dnc-PF	
FBgn0000479	dnc	dnc-PG	
FBgn0000479	dnc	dnc-PI	dnc-PJ
FBgn0000479	dnc	dnc-PL	
FBgn0000479	dnc	dnc-PN	
FBgn0000479	dnc	dnc-PQ	dnc-PR
FBgn0000479	dnc	dnc-PT	dnc-PU
FBgn0000482	dor	dor-PA	
FBgn0000489	Pka-C3	Pka-C3-PA	
FBgn0000489	Pka-C3	Pka-C3-PB	
FBgn0000490	dpp	dpp-PA	dpp-PB,dpp-PC,dpp-PE
FBgn0000492	Dr	Dr-PA	
FBgn0000497	ds	ds-PA	ds-PB
FBgn0000499	dsh	dsh-PA	
FBgn0000500	Dsk	Dsk-PA	
FBgn0000504	dsx	dsx-PA	dsx-PD
FBgn0000504	dsx	dsx-PB	dsx-PC,dsx-PF
FBgn0000504	dsx	dsx-PE	
FBgn0000520	dwg	dwg-PA	
FBgn0000524	dx	dx-PA	
FBgn0000527	e	e-PA	
FBgn0000529	bsh	bsh-PB	bsh-PC
FBgn0000533	ea	ea-PA	
FBgn0000533	ea	ea-PB	
FBgn0000535	eag	eag-PA	
FBgn0000535	eag	eag-PB	
FBgn0000535	eag	eag-PC	
FBgn0000535	eag	eag-PD	
FBgn0000535	eag	eag-PE	
FBgn0000535	eag	eag-PF	
FBgn0000535	eag	eag-PG	
FBgn0000536	eas	eas-PA	eas-PB,eas-PC,eas-PH,eas-PI
FBgn0000536	eas	eas-PF	eas-PJ
FBgn0000536	eas	eas-PG	
FBgn0000541	E(bx)	E(bx)-PA	E(bx)-PE,E(bx)-PJ
FBgn0000541	E(bx)	E(bx)-PB	
FBgn0000541	E(bx)	E(bx)-PC	
FBgn0000541	E(bx)	E(bx)-PF	
FBgn0000541	E(bx)	E(bx)-PG	
FBgn0000541	E(bx)	E(bx)-PH	
FBgn0000541	E(bx)	E(bx)-PI	
FBgn0000542	ec	ec-PA	
FBgn0000542	ec	ec-PB	
FBgn0000542	ec	ec-PC	
FBgn0000543	ecd	ecd-PA	
FBgn0000546	EcR	EcR-PA	EcR-PD,EcR-PE
FBgn0000546	EcR	EcR-PB	EcR-PG
FBgn0000546	EcR	EcR-PC	
FBgn0000547	ed	ed-PA	ed-PB
FBgn0000547	ed	ed-PC	
FBgn0000551	Edg78E	Edg78E-PA	Edg78E-PB
FBgn0000552	Edg84A	Edg84A-PA	
FBgn0000556	Ef1alpha48D	Ef1alpha48D-PA	Ef1alpha48D-PC,Ef1alpha48D-PD,Ef1alpha48D-PE
FBgn0000557	Ef1alpha100E	Ef1alpha100E-PA	Ef1alpha100E-PB,Ef1alpha100E-PC,Ef1alpha100E-PD
FBgn0000559	EF2	EF2-PA	EF2-PC,EF2-PD
FBgn0000560	eg	eg-PA	eg-PB
FBgn0000560	eg	eg-PC	
FBgn0000562	egl	egl-PB	egl-PC
FBgn0000564	Eh	Eh-PA	Eh-PB
FBgn0000565	Eip71CD	Eip71CD-PA	
FBgn0000565	Eip71CD	Eip71CD-PB	
FBgn0000565	Eip71CD	Eip71CD-PC	
FBgn0000565	Eip71CD	Eip71CD-PE	
FBgn0000565	Eip71CD	Eip71CD-PF	
FBgn0000565	Eip71CD	Eip71CD-PG	
FBgn0000566	Eip55E	Eip55E-PA	Eip55E-PB
FBgn0000567	Eip74EF	Eip74EF-PA	
FBgn0000567	Eip74EF	Eip74EF-PB	Eip74EF-PD
FBgn0000567	Eip74EF	Eip74EF-PC	
FBgn0000567	Eip74EF	Eip74EF-PE	
FBgn0000568	Eip75B	Eip75B-PA	
FBgn0000568	Eip75B	Eip75B-PB	Eip75B-PE,Eip75B-PF
FBgn0000568	Eip75B	Eip75B-PC	
FBgn0000568	Eip75B	Eip75B-PD	
FBgn0000568	Eip75B	Eip75B-PG	
FBgn0000575	emc	emc-PA	
FBgn0000576	ems	ems-PA	
FBgn0000577	en	en-PA	en-PB
FBgn0000578	ena	ena-PA	ena-PC,ena-PE
FBgn0000578	ena	ena-PB	
FBgn0000578	ena	ena-PD	
FBgn0000578	ena	ena-PF	
FBgn0000578	ena	ena-PG	
FBgn0000579	Eno	Eno-PA	Eno-PF
FBgn0000579	Eno	Eno-PB	Eno-PC,Eno-PD,Eno-PE
FBgn0000581	E(Pc)	E(Pc)-PA	E(Pc)-PB
FBgn0000581	E(Pc)	E(Pc)-PC	
FBgn0000581	E(Pc)	E(Pc)-PD	
FBgn0000581	E(Pc)	E(Pc)-PE	
FBgn0000588	esc	esc-PA	
FBgn0000591	E(spl)m8-HLH	E(spl)m8-HLH-PA	
FBgn0000592	Est-6	Est-6-PA	Est-6-PB
FBgn0000594	Est-P	Est-P-PA	
FBgn0000606	eve	eve-PA	
FBgn0000611	exd	exd-PA	exd-PB,exd-PD,exd-PE
FBgn0000615	exu	exu-PA	exu-PB,exu-PC,exu-PD
FBgn0000617	e(y)1	e(y)1-PA	
FBgn0000618	e(y)2	e(y)2-PA	
FBgn0000625	eyg	eyg-PA	eyg-PB,eyg-PC
FBgn0000629	E(z)	E(z)-PA	E(z)-PB
FBgn0000629	E(z)	E(z)-PC	
FBgn0000633	fas	fas-PA	fas-PB
FBgn0000635	Fas2	Fas2-PA	
FBgn0000635	Fas2	Fas2-PB	
FBgn0000635	Fas2	Fas2-PC	
FBgn0000635	Fas2	Fas2-PD	
FBgn0000635	Fas2	Fas2-PF	
FBgn0000635	Fas2	Fas2-PG	
FBgn0000635	Fas2	Fas2-PH	
FBgn0000636	Fas3	Fas3-PA	
FBgn0000636	Fas3	Fas3-PB	Fas3-PF
FBgn0000636	Fas3	Fas3-PC	
FBgn0000636	Fas3	Fas3-PD	Fas3-PE
FBgn0000636	Fas3	Fas3-PG	
FBgn0000639	Fbp1	Fbp1-PA	
FBgn0000639	Fbp1	Fbp1-PB	
FBgn0000639	Fbp1	Fbp1-PD	
FBgn0000640	Fbp2	Fbp2-PA	Fbp2-PB,Fbp2-PC
FBgn0000644	Fcp3C	Fcp3C-PA	
FBgn0000658	fj	fj-PA	
FBgn0000659	fkh	fkh-PA	fkh-PB,fkh-PD
FBgn0000659	fkh	fkh-PC	
FBgn0000659	fkh	fkh-PE	
FBgn0000662	fl(2)d	fl(2)d-PA	
FBgn0000662	fl(2)d	fl(2)d-PB	fl(2)d-PC,fl(2)d-PD
FBgn0000667	Actn	Actn-PA	
FBgn0000667	Actn	Actn-PB	Actn-PD,Actn-PI
FBgn0000667	Actn	Actn-PC	Actn-PG,Actn-PH,Actn-PJ
FBgn0000667	Actn	Actn-PF	
FBgn0000709	fliI	fliI-PA	
FBgn0000711	flw	flw-PA	
FBgn0000711	flw	flw-PB	flw-PC
FBgn0000715	FMRFa	FMRFa-PA	
FBgn0000719	fog	fog-PA	fog-PB,fog-PC,fog-PD,fog-PE,fog-PF
FBgn0000721	for	for-PA	for-PH,for-PI
FBgn0000721	for	for-PC	for-PD,for-PG,for-PK
FBgn0000721	for	for-PE	for-PJ
FBgn0000723	FER	FER-PA	
FBgn0000723	FER	FER-PB	
FBgn0000723	FER	FER-PC	
FBgn0000723	FER	FER-PD	
FBgn0000723	FER	FER-PE	
FBgn0000723	FER	FER-PF	
FBgn0000808	gd	gd-PC	gd-PF
FBgn0000808	gd	gd-PD	
FBgn0000808	gd	gd-PE	
FBgn0000810	fs(1)K10	fs(1)K10-PA	
FBgn0000826	png	png-PA	
FBgn0000927	fs(1)Ya	fs(1)Ya-PA	
FBgn0000928	fs(1)Yb	fs(1)Yb-PA	
FBgn0000964	tj	tj-PB	
FBgn0000964	tj	tj-PC	
FBgn0000996	dup	dup-PA	dup-PB
FBgn0001075	ft	ft-PA	
FBgn0001077	ftz	ftz-PA	
FBgn0001078	ftz-f1	ftz-f1-PA	ftz-f1-PC
FBgn0001078	ftz-f1	ftz-f1-PB	
FBgn0001078	ftz-f1	ftz-f1-PD	
FBgn0001079	fu	fu-PA	
FBgn0001083	fw	fw-PA	fw-PC
FBgn0001083	fw	fw-PB	
FBgn0001084	fy	fy-PA	fy-PB
FBgn0001085	fz	fz-PA	
FBgn0001085	fz	fz-PC	
FBgn0001086	fzy	fzy-PA	
FBgn0001087	g	g-PB	
FBgn0001087	g	g-PD	
FBgn0001087	g	g-PF	
FBgn0001089	Gal	Gal-PA	
FBgn0001089	Gal	Gal-PB	
FBgn0001090	bnb	bnb-PA	bnb-PB,bnb-PC,bnb-PD
FBgn0001091	Gapdh1	Gapdh1-PA	Gapdh1-PB
FBgn0001092	Gapdh2	Gapdh2-PA	Gapdh2-PC
FBgn0001098	Gdh	Gdh-PA	
FBgn0001098	Gdh	Gdh-PB	
FBgn0001098	Gdh	Gdh-PD	
FBgn0001098	Gdh	Gdh-PF	
FBgn0001099	gdl	gdl-PA	gdl-PB,gdl-PC
FBgn0001104	Galphai	Galphai-PA	
FBgn0001105	Gbeta13F	Gbeta13F-PA	Gbeta13F-PB,Gbeta13F-PC,Gbeta13F-PE,Gbeta13F-PF,Gbeta13F-PG,Gbeta13F-PH
FBgn0001108	DCTN1-p150	DCTN1-p150-PA	
FBgn0001112	Gld	Gld-PA	
FBgn0001114	Glt	Glt-PA	Glt-PD
FBgn0001120	gnu	gnu-PA	
FBgn0001122	Galphao	Galphao-PA	Galphao-PC,Galphao-PI
FBgn0001122	Galphao	Galphao-PB	Galphao-PD,Galphao-PE,Galphao-PF,Galphao-PG,Galphao-PH
FBgn0001122	Galphao	Galphao-PJ	
FBgn0001123	Galphas	Galphas-PA	Galphas-PC,Galphas-PE
FBgn0001123	Galphas	Galphas-PB	Galphas-PD
FBgn0001124	Got1	Got1-PA	
FBgn0001124	Got1	Got1-PB	
FBgn0001125	Got2	Got2-PA	
FBgn0001125	Got2	Got2-PB	
FBgn0001128	Gpdh	Gpdh-PA	Gpdh-PE
FBgn0001128	Gpdh	Gpdh-PB	Gpdh-PF
FBgn0001128	Gpdh	Gpdh-PC	Gpdh-PG
FBgn0001133	grau	grau-PA	
FBgn0001134	Grd	Grd-PA	
FBgn0001137	grk	grk-PA	
FBgn0001138	grn	grn-PA	
FBgn0001138	grn	grn-PB	
FBgn0001138	grn	grn-PC	
FBgn0001139	gro	gro-PA	gro-PB,gro-PC,gro-PD,gro-PF
FBgn0001139	gro	gro-PE	
FBgn0001139	gro	gro-PG	
FBgn0001139	gro	gro-PH	
FBgn0001139	gro	gro-PI	
FBgn0001139	gro	gro-PJ	
FBgn0001142	Gs1	Gs1-PB	Gs1-PC,Gs1-PD
FBgn0001145	Gs2	Gs2-PA	
FBgn0001145	Gs2	Gs2-PB	
FBgn0001145	Gs2	Gs2-PC	Gs2-PE,Gs2-PF
FBgn0001145	Gs2	Gs2-PD	
FBgn0001147	gsb-n	gsb-n-PA	
FBgn0001148	gsb	gsb-PA	
FBgn0001149	GstD1	GstD1-PA	GstD1-PB
FBgn0001150	gt	gt-PB	
FBgn0001168	h	h-PA	h-PB
FBgn0001169	H	H-PA	H-PD
FBgn0001169	H	H-PB	H-PC
FBgn0001170	H2.0	H2.0-PA	
FBgn0001174	halo	halo-PB	
FBgn0001179	hay	hay-PA	hay-PB
FBgn0001180	hb	hb-PA	hb-PB
FBgn0001185	her	her-PA	her-PB
FBgn0001186	Hex-A	Hex-A-PA	
FBgn0001186	Hex-A	Hex-A-PB	Hex-A-PC
FBgn0001187	Hex-C	Hex-C-PA	
FBgn0001189	hfw	hfw-PA	hfw-PB
FBgn0001197	His2Av	His2Av-PA	His2Av-PB
FBgn0001202	hook	hook-PA	
FBgn0001206	Hmr	Hmr-PB	
FBgn0001208	Hn	Hn-PA	Hn-PC
FBgn0001208	Hn	Hn-PB	
FBgn0001208	Hn	Hn-PD	
FBgn0001215	Hrb98DE	Hrb98DE-PA	
FBgn0001215	Hrb98DE	Hrb98DE-PB	Hrb98DE-PC
FBgn0001215	Hrb98DE	Hrb98DE-PD	Hrb98DE-PF
FBgn0001215	Hrb98DE	Hrb98DE-PE	
FBgn0001216	Hsc70-1	Hsc70-1-PA	
FBgn0001216	Hsc70-1	Hsc70-1-PC	Hsc70-1-PD
FBgn0001217	Hsc70-2	Hsc70-2-PA	
FBgn0001218	Hsc70-3	Hsc70-3-PA	Hsc70-3-PB,Hsc70-3-PC,Hsc70-3-PD,Hsc70-3-PE
FBgn0001220	Hsc70-5	Hsc70-5-PA	Hsc70-5-PB
FBgn0001222	Hsf	Hsf-PA	
FBgn0001222	Hsf	Hsf-PB	
FBgn0001222	Hsf	Hsf-PC	
FBgn0001222	Hsf	Hsf-PD	
FBgn0001223	Hsp22	Hsp22-PA	Hsp22-PB
FBgn0001224	Hsp23	Hsp23-PA	Hsp23-PB
